# Chile Backoff Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,HT20/VHT20,,,,,,,,,,,,,,,,,,,,HT40/VHT40,,,,,,,,,,,,,,,,,,,,VHT80,,,,,,,,,,,,,,,,,,,,VHT160,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Band: 2.4G,1T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss
Ch1,11,11,11,11,11,11,11,11,11,11,11,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch2,11,11,11,11,11,11,11,11,11,11,11,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch3,11,11,11,11,11,11,11,11,11,11,11,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch4,11,11,11,11,11,11,11,11,11,11,11,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch5,11,11,11,11,11,11,11,11,11,11,11,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch6,11,11,11,11,11,11,11,11,11,11,11,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch7,11,11,11,11,11,11,11,11,11,11,11,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch8,11,11,11,11,11,11,11,11,11,11,11,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch9,11,11,11,11,11,11,11,11,11,11,11,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
