# SKU Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,,BW20,,,,,,,,,,BW40,,,,,,,,,,,BW80,,,,,,,,,,BW160,,,,,,,,,,,,,,,,,
Band: 2.4G,CCK_1M,CCK_2M,CCK_5.5M,CCK_11M,OFDM_6M,OFDM_9M,OFDM_12M,OFDM_18M,OFDM_24M,OFDM36M,OFDM_48M,OFDM_54M,HT/VHT20_MCS0,HT/VHT20_MCS1,HT/VHT20_MCS2,HT/VHT20_MCS3,HT/VHT20_MCS4,HT/VHT20_MCS5,HT/VHT20_MCS6,HT/VHT20_MCS7,HT/VHT20_MCS8,HT/VHT20_MCS9,HT/VHT40_MCS0,HT/VHT40_MCS1,HT/VHT40_MCS2,HT/VHT40_MCS3,HT/VHT40_MCS4,HT/VHT40_MCS5,HT/VHT40_MCS6,HT/VHT40_MCS7,HT/VHT40_MCS8,HT/VHT40_MCS9,HT40_MCS32,VHT80_MCS0,VHT80_MCS1,VHT80_MCS2,VHT80_MCS3,VHT80_MCS4,VHT80_MCS5,VHT80_MCS6,VHT80_MCS7,VHT80_MCS8,VHT80_MCS9,VHT160_MCS0,VHT160_MCS1,VHT160_MCS2,VHT160_MCS3,VHT160_MCS4,VHT160_MCS5,VHT160_MCS6,VHT160_MCS7,VHT160_MCS8,VHT160_MCS9,,,,,,,,
Ch1,21,23,22,17,16,22,24,20,23,18,21,19,19,18,24,21,15,20,19,19,15,24,22,23,24,23,17,18,15,16,23,16,17,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,
Ch2,23,24,17,22,23,21,17,17,20,20,18,16,21,18,17,15,21,17,18,22,24,23,24,17,18,18,21,18,22,21,24,19,22,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,
Ch3,22,18,15,21,20,16,18,19,16,17,18,17,18,21,20,19,23,19,16,17,23,15,18,22,24,23,18,22,22,19,23,15,23,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,
Ch4,17,17,23,16,22,22,20,19,22,15,16,22,15,17,24,16,16,15,23,23,19,15,23,21,19,22,15,21,19,15,24,21,25,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,
Ch5,19,24,15,17,21,21,18,18,24,17,22,21,20,24,18,19,18,22,24,18,18,20,18,15,22,17,20,17,16,19,20,24,18,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,
Ch6,16,20,22,23,23,20,15,15,22,16,21,21,17,20,16,15,15,21,22,18,23,23,21,19,18,17,17,19,17,19,24,23,23,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,
Ch7,16,22,20,20,18,18,18,22,16,20,21,17,22,19,24,16,21,19,24,22,21,15,17,19,23,16,23,20,18,23,21,16,17,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,
Ch8,21,23,24,17,21,18,20,17,17,15,15,15,18,18,22,19,16,21,15,17,15,19,21,21,16,24,21,16,22,19,16,21,14,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,
Ch9,24,18,22,19,17,22,22,16,17,24,19,15,20,18,24,24,18,16,23,22,19,22,20,21,23,20,19,15,15,22,20,20,18,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,
Ch10,17,16,17,16,23,20,23,21,17,15,22,16,17,21,16,23,16,17,17,18,23,17,19,23,20,23,16,22,21,22,17,22,19,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,
